Date,Open,High,Low,Close,Volume_From,Volume_To,Year
2018-01-01,13444.88,15306.13,12934.16,14754.13,137732.17,1956783037.35,2018
2018-01-02,14754.09,15435.01,14579.71,15156.62,106543.39,1604206990.04,2018
2018-01-03,15156.49,15408.66,14244.67,15180.08,110968.82,1656714736.62,2018
2018-01-04,15180.08,17126.95,14832.36,16954.78,141960.42,2283988962.92,2018
2018-01-05,16954.76,17252.85,16286.57,17172.3,83927.99,1412703790.73,2018
2018-01-06,17174.5,17184.81,15791.13,16228.16,79006.37,1309532650.11,2018
2018-01-07,16228.26,16302.92,13902.31,14976.17,142453.96,2166366561.33,2018
2018-01-08,14976.17,15390.28,14221.55,14468.5,99730.65,1486802326.34,2018
2018-01-09,14468.09,14919.49,13450.54,14919.49,142303.9,2025083791.13,2018
2018-01-10,14920.36,14979.96,12825.95,13308.06,173452.27,2373494121.74,2018
2018-01-11,13308.06,14129.08,12851.91,13841.19,102068.02,1402292716.89,2018
2018-01-12,13841.19,14595.04,13830.28,14243.12,71300.93,1021352776.21,2018
2018-01-13,14244.12,14415.67,13031.91,13638.63,81536.0,1112590573.36,2018
2018-01-14,13638.63,14355.82,13416.71,13631.98,84089.84,1170462750.59,2018
2018-01-15,13634.6,13648.84,10032.69,11282.49,325702.79,3842651741.45,2018
2018-01-16,11282.49,11736.3,9205.38,11162.7,348631.94,3666978316.26,2018
2018-01-17,11162.7,12018.43,10642.33,11175.52,204918.02,2357251805.09,2018
2018-01-18,11175.52,11780.49,10867.18,11521.76,110885.87,1264875700.45,2018
2018-01-19,11521.82,13031.04,11502.11,12783.94,119084.84,1492721765.44,2018
2018-01-20,12783.54,12787.35,11101.73,11549.93,130427.64,1552755289.93,2018
2018-01-21,11549.98,11913.74,10067.76,10814.52,165723.08,1811992345.95,2018
2018-01-22,10814.52,11388.52,9980.5,10858.23,158868.59,1710180828.64,2018
2018-01-23,10853.78,11531.6,10506.55,11429.02,115804.82,1286435482.05,2018
2018-01-24,11428.11,11741.92,10930.34,11175.87,93317.76,1061064251.44,2018
2018-01-25,11175.87,11656.54,10346.86,11104.2,142350.84,1560135332.27,2018
2018-01-26,11104.34,11638.69,10879.2,11459.71,90873.81,1031091633.68,2018
2018-01-27,11460.39,12064.19,11407.94,11767.74,87917.22,1038153169.8,2018
2018-01-28,11767.74,11860.29,11089.52,11233.95,80713.7,920836244.04,2018
2018-01-29,11234.32,11263.7,9871.21,10107.26,164072.93,1720894077.2,2018
2018-01-30,10107.4,10377.96,9698.13,10226.86,122260.49,1230902973.11,2018
2018-01-31,10226.86,10280.84,8726.95,9114.72,208918.8,1964308989.29,2018
2018-02-01,9114.73,9147.93,7786.2,8870.82,322596.22,2768759876.15,2018
2018-02-02,8872.87,9504.37,8194.68,9251.27,139226.07,1253484523.4,2018
2018-02-03,9251.27,9400.99,7889.83,8218.05,164609.06,1413207410.82,2018
2018-02-04,8218.05,8391.29,6627.31,6937.08,341828.54,2534149181.03,2018
2018-02-05,6936.43,7932.38,5968.36,7701.25,495883.24,3397596513.74,2018
2018-02-06,7701.25,8572.68,7208.86,7592.72,271450.37,2159765331.36,2018
2018-02-07,7593.78,8643.94,7590.48,8260.69,193040.33,1594673973.51,2018
2018-02-08,8259.26,8743.2,7775.36,8696.83,162279.68,1348072086.15,2018
2018-02-09,8696.83,9081.49,8176.25,8569.29,155616.78,1348923336.33,2018
2018-02-10,8569.32,8573.35,7862.31,8084.61,123293.84,1013771945.88,2018
2018-02-11,8084.61,8997.34,8084.41,8911.27,124923.98,1085921871.17,2018
2018-02-12,8911.17,8955.15,8379.35,8544.69,98632.88,853320352.71,2018
2018-02-13,8544.69,9508.22,8542.98,9485.64,133702.54,1220863360.18,2018
2018-02-14,9485.64,10223.58,9363.38,10033.75,168776.78,1666668487.88,2018
2018-02-15,10033.75,10303.14,9720.38,10188.73,105556.67,1061827697.26,2018
2018-02-16,10188.73,11119.45,10074.07,11097.21,123660.48,1327921168.02,2018
2018-02-17,11097.21,11288.34,10161.01,10417.23,154431.22,1659704217.34,2018
2018-02-18,10418.12,11265.96,10336.32,11182.28,108244.29,1186535653.61,2018
2018-02-19,11182.28,11802.23,11130.95,11256.43,142449.23,1640343867.77,2018
2018-02-20,11256.78,11295.58,10256.21,10481.66,183274.25,1982721124.63,2018
2018-02-21,10481.66,10941.57,9757.19,9847.96,175506.26,1795951829.82,2018
2018-02-22,9847.96,10420.67,9604.0,10175.51,139373.76,1399448203.16,2018
2018-02-23,10175.51,10528.0,9396.54,9705.73,125269.68,1244484468.57,2018
2018-02-24,9705.73,9873.79,9329.44,9610.11,82430.45,793093192.66,2018
2018-02-25,9610.11,10457.51,9411.82,10326.5,117416.47,1181729273.47,2018
2018-02-26,10326.5,10879.38,10154.24,10594.76,99772.39,1060840699.02,2018
2018-02-27,10594.76,11067.76,10303.14,10334.44,105434.79,1126074675.67,2018
2018-02-28,10334.44,11090.3,10247.56,10929.37,88432.44,952472120.03,2018
2018-03-01,10929.37,11191.94,10801.45,11043.12,77195.49,852908489.64,2018
2018-03-02,11043.12,11530.66,11043.12,11465.36,71279.36,812200126.22,2018
2018-03-03,11465.36,11539.79,11084.01,11504.42,61016.39,690727335.55,2018
2018-03-04,11503.94,11694.15,11431.55,11440.73,68323.51,791471905.1,2018
2018-03-05,11440.33,11441.65,10589.28,10735.45,109876.55,1210081181.36,2018
2018-03-06,10735.45,10913.7,9470.73,9928.56,183060.08,1858869115.0,2018
2018-03-07,9928.56,10119.21,9086.85,9316.72,154879.22,1492236089.97,2018
2018-03-08,9316.77,9433.38,8393.45,9252.76,233598.15,2081621422.7,2018
2018-03-09,9252.76,9518.62,8727.43,8797.27,117409.38,1084925795.69,2018
2018-03-10,8797.27,9735.64,8484.32,9544.84,149877.66,1374814644.2,2018
2018-03-11,9543.98,9907.41,8796.52,9142.15,152959.8,1435404200.39,2018
2018-03-12,9142.27,9486.12,8856.65,9160.12,133768.47,1228556284.3,2018
2018-03-13,9160.12,9360.66,7966.94,8217.7,161775.05,1385572511.72,2018
2018-03-14,8216.22,8432.12,7698.47,8268.41,187365.71,1519850464.55,2018
2018-03-15,8267.95,8616.63,7924.11,8283.23,129688.11,1082790136.53,2018
2018-03-16,8283.23,8360.64,7765.41,7883.45,111641.32,901939422.97,2018
2018-03-17,7882.67,8299.86,7318.46,8215.4,198796.34,1535519444.95,2018
2018-03-18,8215.5,8725.6,8129.66,8623.14,171829.52,1447812723.08,2018
2018-03-19,8623.14,9056.23,8339.8,8920.71,131959.66,1150462439.42,2018
2018-03-20,8920.53,9184.51,8778.69,8911.35,109985.22,991376396.96,2018
2018-03-21,8911.37,9107.0,8500.88,8724.98,116522.98,1023286566.15,2018
2018-03-22,8724.98,8935.88,8307.58,8934.8,109649.39,939997284.45,2018
2018-03-23,8935.51,9036.23,8515.53,8548.06,93296.24,827663165.33,2018
2018-03-24,8548.39,8690.36,8395.85,8472.84,76775.64,657643520.26,2018
2018-03-25,8472.56,8521.04,7869.27,8152.2,131859.97,1079038734.78,2018
2018-03-26,8152.18,8226.24,7752.3,7808.48,116523.1,930754990.52,2018
2018-03-27,7808.42,8117.79,7752.6,7959.78,82590.62,657712114.92,2018
2018-03-28,7959.78,7983.77,6927.11,7106.62,185805.88,1379180030.3,2018
2018-03-29,7106.62,7280.27,6595.26,6853.76,229837.79,1584675343.21,2018
2018-03-30,6853.75,7228.4,6806.34,6943.77,129526.48,915400590.57,2018
2018-03-31,6943.77,7056.22,6463.54,6835.84,131344.01,889887684.72,2018
2018-04-01,6835.58,8218.66,6792.3,7074.6,106513.22,748861435.14,2018
2018-04-02,7074.65,7528.97,7039.88,7434.3,122807.02,905326798.64,2018
2018-04-03,7434.3,7442.42,6727.09,6815.5,123910.33,877199782.17,2018
2018-04-04,6815.5,6933.66,6602.38,6790.45,114426.84,777145174.76,2018
2018-04-05,6790.45,6869.53,6526.67,6634.86,90749.16,605651287.47,2018
2018-04-06,6634.86,7083.85,6624.47,6917.2,81312.77,564883141.53,2018
2018-04-07,6917.2,7132.03,6911.02,7049.92,60386.23,425825572.09,2018
2018-04-08,7049.92,7204.28,6633.69,6789.53,130534.03,901883664.92,2018
2018-04-09,6789.53,6922.84,6676.72,6871.07,62035.53,424510977.27,2018
2018-04-10,6871.07,6999.37,6839.16,6977.13,64802.3,450141340.22,2018
2018-04-11,6977.04,8051.95,6791.33,7927.73,197276.82,1490759969.77,2018
2018-04-12,7927.73,8237.16,7758.8,7899.11,145665.26,1171435820.59,2018
2018-04-13,7898.74,8195.34,7841.19,8022.51,66678.63,537286381.88,2018
2018-04-14,8022.51,8437.03,8021.04,8376.73,68822.07,570527804.56,2018
2018-04-15,8376.73,8430.93,7929.24,8079.77,87681.75,713471956.84,2018
2018-04-16,8079.77,8187.6,7858.12,7921.63,71933.6,580880500.84,2018
2018-04-17,7921.65,8246.57,7908.92,8189.96,73050.12,593500791.64,2018
2018-04-18,8189.92,8321.01,8136.42,8301.82,72820.98,602099034.89,2018
2018-04-19,8301.82,8945.14,8243.49,8877.08,114730.74,979994921.45,2018
2018-04-20,8877.15,9047.82,8631.18,8935.72,93635.24,829073400.66,2018
2018-04-21,8935.85,9043.98,8788.44,8823.36,68212.83,610183093.43,2018
2018-04-22,8823.46,9025.73,8804.2,8968.25,61895.95,553892335.42,2018
2018-04-23,8967.86,9741.91,8957.68,9655.77,136352.05,1276464750.74,2018
2018-04-24,9657.69,9765.23,8757.06,8873.62,192797.41,1779806222.98,2018
2018-04-25,8873.57,9315.13,8669.38,9282.12,111690.32,997427934.62,2018
2018-04-25,8873.57,9315.13,8669.38,9282.12,111690.32,997427934.62,2018
2018-04-26,9289.01,9385.87,8923.48,8938.47,82025.4,758182407.35,2018
2018-04-27,8938.47,9435.9,8892.52,9351.47,83347.1,774111704.68,2018
2018-04-28,9349.94,9552.67,9189.07,9407.04,68227.03,640931911.37,2018
2018-04-29,9407.35,9459.81,9133.6,9248.45,61631.36,574099218.21,2018
2018-04-30,9248.25,9251.66,8851.1,9077.28,74147.8,669555436.99,2018
2018-05-01,9077.28,9271.62,8993.82,9232.19,57618.44,527488395.49,2018
2018-05-02,9232.19,9817.19,9172.28,9745.04,90631.98,857646889.15,2018
2018-05-03,9746.26,9785.15,9547.21,9699.61,68689.75,663887678.35,2018
2018-05-04,9700.37,9968.85,9687.09,9845.9,68875.75,679872376.4,2018
2018-05-05,9846.44,9936.96,9441.93,9644.92,62904.49,608650204.19,2018
2018-05-06,9643.99,9662.23,9202.13,9377.81,73842.44,692580062.51,2018
2018-05-07,9377.08,9472.09,9063.07,9196.13,72659.12,673924125.29,2018
2018-05-08,9196.13,9373.46,8987.27,9321.16,67939.11,625495066.08,2018
2018-05-09,9321.52,9393.95,9017.13,9032.22,67915.99,629850604.12,2018
2018-05-10,9032.22,9032.27,8363.5,8421.0,134727.27,1176888629.2,2018
2018-05-11,8420.82,8653.8,8225.97,8486.67,92805.87,783972252.35,2018
2018-05-12,8488.07,8773.96,8350.91,8709.46,61066.94,525395861.86,2018
2018-05-13,8709.46,8883.0,8312.72,8672.9,101370.46,874543293.99,2018
2018-05-14,8672.88,8848.69,8441.25,8480.16,84517.8,730739738.9,2018
2018-05-15,8480.16,8501.65,8119.17,8344.78,95203.5,789660713.22,2018
2018-05-16,8342.69,8476.45,8015.77,8071.04,74445.77,615539512.71,2018
2018-05-17,8071.04,8280.45,7940.35,8247.91,68665.67,558167598.76,2018
2018-05-18,8247.91,8397.27,8160.8,8249.24,45978.21,381458405.45,2018
2018-05-19,8249.24,8591.45,8181.46,8533.0,49694.23,418898289.02,2018
2018-05-20,8533.22,8585.85,8347.88,8419.65,54602.79,463653636.91,2018
2018-05-21,8419.67,8428.6,7962.43,7992.75,66032.52,543342369.36,2018
2018-05-22,7992.75,8031.63,7460.66,7505.77,120597.47,934151146.29,2018
2018-05-23,7505.77,7729.48,7283.77,7584.74,109709.83,826278113.25,2018
2018-05-24,7584.78,7652.37,7347.96,7475.36,84630.56,634474356.99,2018
2018-05-25,7475.36,7626.69,7314.71,7355.06,48994.09,368322782.27,2018
2018-05-26,7355.06,7420.07,7256.67,7362.23,46446.45,341348321.23,2018
2018-05-27,7362.23,7455.55,7092.91,7118.88,72505.5,526854342.95,2018
2018-05-28,7118.88,7533.03,7069.01,7474.75,86536.7,634849312.09,2018
2018-05-29,7474.75,7571.08,7295.78,7393.02,67797.62,505870974.98,2018
2018-05-30,7393.02,7608.87,7349.52,7502.15,60780.47,458223966.12,2018
2018-05-31,7501.74,7614.66,7370.27,7530.55,61082.25,458687659.47,2018
2018-06-01,7530.55,7697.34,7467.79,7643.26,47435.99,362414878.61,2018
2018-06-02,7643.26,7774.96,7606.76,7719.75,42988.84,332313005.46,2018
2018-06-03,7719.73,7760.73,7469.21,7503.2,56223.86,427448262.3,2018
2018-06-04,7503.32,7672.7,7394.97,7629.4,58424.84,440337235.4,2018
2018-06-05,7629.4,7701.35,7504.98,7661.79,51911.42,396116252.65,2018
2018-06-06,7661.79,7755.92,7651.13,7700.11,44318.41,342475552.09,2018
2018-06-07,7700.4,7709.61,7559.5,7627.52,40500.95,310119047.41,2018
2018-06-08,7627.56,7691.74,7495.72,7513.69,28511.04,218013881.09,2018
2018-06-09,7513.76,7514.04,6661.98,6773.72,127797.43,895514425.38,2018
2018-06-10,6773.72,6913.85,6652.89,6887.37,71169.64,482788065.15,2018
2018-06-11,6887.43,6888.33,6462.61,6556.94,75997.29,509372466.34,2018
2018-06-12,6556.94,6623.0,6140.63,6310.43,124304.17,797087281.14,2018
2018-06-13,6310.43,6719.44,6286.23,6643.26,95038.67,620296377.11,2018
2018-06-14,6643.63,6667.23,6380.69,6396.71,57731.42,379228601.07,2018
2018-06-15,6396.71,6569.15,6345.99,6503.1,35851.38,232802782.59,2018
2018-06-16,6503.1,6585.77,6446.38,6457.78,34359.95,224575526.46,2018
2018-06-17,6457.78,6802.03,6401.41,6714.82,65285.57,430241689.13,2018
2018-06-18,6714.56,6839.6,6672.2,6741.28,54949.84,370797057.99,2018
2018-06-19,6741.28,6817.9,6569.96,6761.27,59674.47,400530201.24,2018
2018-06-20,6761.27,6790.08,6687.66,6720.64,43765.89,295690715.67,2018
2018-06-21,6720.64,6731.51,5941.32,6051.47,137346.53,862826624.25,2018
2018-06-22,6051.47,6257.88,6033.2,6166.54,57011.61,350697378.49,2018
2018-06-23,6166.36,6254.02,5782.13,6157.78,110833.06,667479078.32,2018
2018-06-24,6157.78,6344.45,6095.25,6260.35,79086.4,492834172.99,2018
2018-06-25,6260.4,6286.36,6067.49,6088.39,62925.3,391396653.43,2018
2018-06-26,6092.26,6192.11,6021.69,6141.57,62639.82,383457137.86,2018
2018-06-27,6141.57,6172.23,5844.26,5871.28,63585.51,385907044.98,2018
2018-06-28,5870.81,6286.67,5813.02,6203.8,92884.98,554799001.51,2018
